comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0911405177650943,0.0790937320035778,0.0685375067458175,0.0007331995201248,257
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0457868313119314,0.0529262123274357,0.076902320561252,0.0006722513496488,367
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0199574832312744,0.0172390014964841,0.0709660010793308,0.0007272016867398,135
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0324028707151589,0.0239282050983341,0.0655693470048569,0.0007309082810955,553
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0420631143144232,0.0394260319534761,0.0736643281165677,0.0006420288157858,351
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.005506248191804,0.0103436036308223,0.073394495412844,0.0007422402159244,308
sasrec_softmax_uni_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.052149769950817,0.0523952699624452,0.0671883432271991,0.0007644706898399,547
sasrec_softmax_uni_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0348200203451204,0.028669846413953,0.0715056664867782,0.0006310242008182,309
sasrec_softmax_uni_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0494446422071922,0.0411222937039297,0.073394495412844,0.0006992491767299,437
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0728069111191993,0.0407466719035882,0.0658391797085806,0.0007627916601808,676
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0015582149090002,0.0110103420381688,0.066378845116028,0.0006076784147826,251
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0663786885530033,0.0420035916755512,0.0755531570426335,0.0006735333524391,466
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0911405177650943,0.0790937320035778,0.0685375067458175,0.0007331995201248,258
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0457868313119314,0.0529262123274357,0.076902320561252,0.0006722513496488,367
sasrec_softmax_inbatch_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0199574832312744,0.0172390014964841,0.0709660010793308,0.0007272016867398,135
sasrec_softmax_inbatch_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0067471538829715,0.0214116242947382,0.066378845116028,0.0007675681055647,497
